Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

TP13       TP-2                  1815mil       1175mil       1815mil       1175mil       1815mil       1175mil  T        180.00 TP4            
TP80       TP-2                  2094mil        767mil       2094mil        767mil       2094mil        767mil  B          0.00 TP4            
R121       2512R-0.55        1757.119mil        566mil   1757.119mil        566mil   1757.119mil    449.858mil  T         90.00 2512           
R122       2512R-0.55        1909.119mil        566mil   1909.119mil        566mil   1909.119mil    449.858mil  T         90.00 2512           
R105       R0402                 2097mil    840.949mil       2097mil        841mil       2097mil    859.898mil  T        270.00 10K            
R104       R0402             1567.119mil    839.749mil   1567.119mil    839.698mil   1567.119mil      820.8mil  T         90.00 1M             
J24        4POL254               1800mil        145mil       1800mil        145mil       1950mil        145mil  T        180.00 Molex 0705430003
J25        4POL254               2310mil        145mil       2310mil        145mil       2460mil        145mil  T        180.00 Molex 0705430003
D59        SMA-SM            1960.249mil        359mil   1960.119mil        359mil   2039.119mil        359mil  T        360.00 SMAJ30A        
D50        SMA-SM            2107.119mil     599.87mil   2107.119mil        600mil   2107.119mil        521mil  T        270.00 SMAJ30A        
D58        SMA-SM            1708.989mil        360mil   1709.119mil        360mil   1630.119mil        360mil  T        180.00 SMAJ30A        
D48        SMA-SM            1549.119mil     599.87mil   1549.119mil        600mil   1549.119mil        521mil  T        270.00 SMAJ30A        
C137       C0603             2076.119mil        447mil   2076.119mil        447mil    2102.89mil        447mil  T        180.00 1nF            
R90        R0402              1912.42mil   1159.949mil    1912.42mil       1160mil    1912.42mil   1178.898mil  T        270.00 NP             
R89        R0402              1955.42mil   1160.051mil    1955.42mil       1160mil    1955.42mil   1141.102mil  T         90.00 NP             
C136       C0603             2142.119mil        360mil   2142.119mil        360mil   2142.119mil    386.772mil  T        270.00 1nF            
C134       C0603             1592.119mil        446mil   1592.119mil        446mil    1618.89mil        446mil  T        180.00 1nF            
C133       C0603             1524.119mil        360mil   1524.119mil        360mil   1524.119mil    386.772mil  T        270.00 1nF            
C116       C0402              2175.85mil        745mil       2176mil        745mil     2194.7mil        745mil  T        180.00 0402           
C86        C0402              2002.42mil    1159.85mil    2002.42mil       1160mil    2002.42mil     1178.7mil  T        270.00 0402           
C108       C0402              1608.42mil     839.85mil    1608.42mil        840mil    1608.42mil      858.7mil  T        270.00 0402           
C115       C0402              1700.57mil        777mil    1700.42mil        777mil    1681.72mil        777mil  T        360.00 100nF          
R40        R0402                  154mil   2589.949mil        154mil       2590mil        154mil   2608.898mil  T        270.00 1M             
D26        SOD323-R           122.346mil       2662mil        122mil       2662mil        166mil       2662mil  T        360.00 RSB39VTE-17    
D20        LED2012120             415mil   3351.669mil        415mil       3352mil        415mil   3393.338mil  T        270.00 5988140107F    
D4         LED2012120         650.669mil       3643mil        651mil       3643mil    692.338mil       3643mil  T        180.00 5988140107F    
D6         LED2012120        1022.669mil       3589mil       1023mil       3589mil   1064.338mil       3589mil  T        180.00 5988140107F    
D9         LED2012120        1424.669mil       3589mil       1425mil       3589mil   1466.338mil       3589mil  T        180.00 5988140107F    
D18        LED2012120        1823.669mil       3589mil       1824mil       3589mil   1865.338mil       3589mil  T        180.00 5988140107F    
D14        LED2012120            2311mil   3605.669mil       2311mil       3606mil       2311mil   3647.338mil  T        270.00 5988140107F    
U3         SOT26P285X140-6L        780mil       3242mil        780mil       3242mil    830.197mil   3204.598mil  T        180.00 ZXGD3009E6     
C18        C0402                  872mil    3185.15mil        872mil       3185mil        872mil     3166.3mil  T         90.00 100nF          
TP70       TP-2                  2805mil       1631mil       2805mil       1631mil       2805mil       1631mil  B          0.00 TP4            
TP71       TP-2                  2627mil       1639mil       2627mil       1639mil       2627mil       1639mil  B          0.00 TP4            
TP74       TP-2                  2725mil       1497mil       2725mil       1497mil       2725mil       1497mil  B          0.00 TP4            
TP76       TP-2                  2825mil       1419mil       2825mil       1419mil       2825mil       1419mil  B          0.00 TP4            
TP73       TP-2                  2725mil       1400mil       2725mil       1400mil       2725mil       1400mil  B          0.00 TP4            
TP69       TP-2                  2955mil       1706mil       2955mil       1706mil       2955mil       1706mil  B          0.00 TP4            
