Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  T         90.00 Comment        
R119       R0402             1630.886mil   1041.937mil   1630.937mil   1041.937mil   1649.835mil   1041.937mil  T        180.00 100K           
R118       R0402             3038.937mil   1097.886mil   3038.937mil   1097.937mil   3038.937mil   1116.835mil  T        270.00 10K            
R116       R0402             3879.937mil   1035.886mil   3879.937mil   1035.937mil   3879.937mil   1054.835mil  T        270.00 10K            
R115       R0402             1733.886mil   1082.937mil   1733.937mil   1082.937mil   1752.835mil   1082.937mil  T        180.00 10K            
R113       R0402             3372.109mil   1033.937mil   3372.058mil   1033.937mil    3353.16mil   1033.937mil  T        360.00 1M             
R112       R0402             2581.886mil   1057.937mil   2581.937mil   1057.937mil   2600.835mil   1057.937mil  T        180.00 1M             
R110       R0402             1115.937mil   1074.988mil   1115.937mil   1074.937mil   1115.937mil   1056.039mil  T         90.00 1M             
R106       R0402             3779.886mil   1017.937mil   3779.937mil   1017.937mil   3798.835mil   1017.937mil  T        180.00 10K            
R105       R0402             3756.937mil   1076.886mil   3756.937mil   1076.937mil   3756.937mil   1095.835mil  T        270.00 100K           
R104       R0402             3079.937mil   1059.886mil   3079.937mil   1059.937mil   3079.937mil   1078.835mil  T        270.00 10K            
R103       R0402             3098.886mil   1000.937mil   3098.937mil   1000.937mil   3117.835mil   1000.937mil  T        180.00 100K           
R102       R0402             1630.886mil   1082.937mil   1630.937mil   1082.937mil   1649.835mil   1082.937mil  T        180.00 10K            
R95        R0402             3803.282mil   1854.321mil   3803.231mil   1854.321mil   3784.333mil   1854.321mil  T        360.00 2k37           
R94        R0402             3724.666mil   1854.244mil   3724.615mil   1854.244mil   3705.717mil   1854.244mil  T        360.00 2k37           
